timestamp,gesture_action,Latency,CPU Utilization
2026-05-23T13:55:45.444+08:00,Cursor movement,0.000082,14.8912
2026-05-23T13:55:47.540+08:00,Drag and drop,0.000057,30.4775
2026-05-23T13:56:45.180+08:00,Cursor movement,0.000073,21.7141
2026-05-23T13:58:14.469+08:00,Pinch gestures,0.000059,22.1007
2026-05-23T13:58:58.629+08:00,Cursor movement,0.000071,32.8936
2026-05-23T13:59:27.114+08:00,Zoom gestures,0.000073,45.3123
2026-05-23T13:59:29.965+08:00,Right-click,0.000140,39.8308
2026-05-23T13:59:32.817+08:00,Cursor movement,0.000091,34.9812
2026-05-23T13:59:38.882+08:00,Drag and drop,0.000048,36.9784
2026-05-23T13:59:46.789+08:00,Cursor movement,0.000073,39.5195
2026-05-23T13:59:48.839+08:00,Left-click,0.000047,46.3918
2026-05-23T13:59:49.521+08:00,Cursor movement,0.000086,22.1574
2026-05-23T13:59:56.037+08:00,Pinch gestures,0.000056,42.9353
2026-05-23T14:00:01.218+08:00,Cursor movement,0.000054,42.9101
2026-05-23T14:00:02.768+08:00,Right-click,0.000060,34.7826
2026-05-23T16:47:07.883+08:00,Cursor movement,0.000077,11.9593
2026-05-23T16:47:17.496+08:00,Left-click,0.000058,15.4905
2026-05-23T16:53:39.176+08:00,Cursor movement,0.000065,11.5460
2026-05-23T16:53:40.693+08:00,Left-click,0.000074,13.4890
2026-05-23T16:53:41.308+08:00,Cursor movement,0.000070,11.5016
2026-05-23T16:53:44.486+08:00,Pinch gestures,0.000067,17.4939
2026-05-23T16:53:46.283+08:00,Cursor movement,0.000068,15.2800
2026-05-23T16:53:48.856+08:00,Pinch gestures,0.000075,15.9507
2026-05-23T16:53:56.793+08:00,Cursor movement,0.000084,15.0747
2026-05-23T17:03:16.371+08:00,Cursor movement,0.000072,9.8916
2026-05-23T17:03:20.729+08:00,Double click,0.000080,11.8614
2026-05-23T17:03:38.911+08:00,Cursor movement,0.000077,9.3931
2026-05-23T17:03:47.709+08:00,Left-click,0.000067,10.6032
2026-05-23T17:03:48.301+08:00,Cursor movement,0.000064,13.0363
2026-05-23T17:03:50.733+08:00,Left-click,0.000069,10.4758
2026-05-23T17:03:52.870+08:00,Cursor movement,0.000070,12.9982
2026-05-23T17:03:59.288+08:00,Left-click,0.000071,16.3154
2026-05-23T17:03:59.822+08:00,Cursor movement,0.000083,16.0221
2026-05-23T17:04:00.342+08:00,Left-click,0.000057,11.6412
2026-05-23T17:04:01.094+08:00,Cursor movement,0.000271,10.0260
2026-05-23T17:04:03.012+08:00,Double click,0.000072,12.0935
2026-05-23T17:04:03.518+08:00,Cursor movement,0.000045,10.8949
2026-05-23T17:04:05.032+08:00,Left-click,0.000074,12.0257
2026-05-23T17:04:05.653+08:00,Cursor movement,0.000066,16.1742
2026-05-23T17:04:06.708+08:00,Left-click,0.000063,16.7897
2026-05-23T17:07:31.870+08:00,Pinch gestures,0.000081,16.1730
2026-05-23T17:07:32.886+08:00,Cursor movement,0.000066,24.8808
2026-05-23T17:07:35.735+08:00,Left-click,0.000060,18.7585
2026-05-23T17:12:48.787+08:00,Double click,0.000069,9.2494
2026-05-23T17:12:49.863+08:00,Cursor movement,0.000065,9.5455
2026-05-23T17:12:50.402+08:00,Double click,0.000081,10.6033
2026-05-23T17:13:07.979+08:00,Cursor movement,0.000077,9.6807
2026-05-23T17:13:11.507+08:00,Right-click,0.000062,13.3887
2026-05-23T17:13:12.279+08:00,Cursor movement,0.000071,11.2102
2026-05-23T17:13:12.754+08:00,Left-click,0.000071,11.1336
2026-05-23T19:58:00.762+08:00,Cursor movement,0.000077,10.9750
2026-05-23T23:44:08.241+08:00,Drag and drop,0.000050,31.2198
2026-05-23T23:44:09.691+08:00,Cursor movement,0.000045,30.3213
2026-05-23T23:44:26.276+08:00,Left-click,0.000082,31.8009
2026-05-23T23:44:27.137+08:00,Cursor movement,0.000082,20.2806
2026-05-23T23:44:30.274+08:00,Left-click,0.000041,32.5850
2026-05-23T23:44:33.198+08:00,Cursor movement,0.000047,32.1381
2026-05-23T23:44:38.938+08:00,Left-click,0.000047,31.4382
2026-05-23T23:44:39.520+08:00,Cursor movement,0.000067,15.4762
2026-05-23T23:44:41.026+08:00,Left-click,0.000061,30.2445
2026-05-24T00:13:52.152+08:00,Cursor movement,0.000044,40.2677
2026-05-24T00:14:00.689+08:00,Left-click,0.000047,39.9774
2026-05-24T00:14:01.075+08:00,Cursor movement,0.000075,30.5970
2026-05-24T00:14:04.902+08:00,Left-click,0.000041,39.3794
2026-05-24T00:14:06.851+08:00,Cursor movement,0.000074,34.1000
2026-05-24T00:14:15.225+08:00,Left-click,0.000060,38.0116
2026-05-24T00:14:19.607+08:00,Drag and drop,0.000069,49.4557
2026-05-24T00:14:25.124+08:00,Zoom gestures,0.000140,20.5761
2026-05-24T00:14:30.852+08:00,Pinch gestures,0.000044,46.6951
2026-05-24T00:30:47.559+08:00,Double click,0.000057,30.9224
2026-05-24T00:30:49.145+08:00,Cursor movement,0.000047,29.5524
2026-05-24T00:31:05.631+08:00,Left-click,0.000068,33.2942
2026-05-24T00:36:28.897+08:00,Zoom gestures,0.000147,45.5854
2026-05-24T00:36:34.603+08:00,Pinch gestures,0.000092,51.3939
2026-05-24T00:36:41.881+08:00,Cursor movement,0.000071,37.2030
2026-05-24T00:36:47.819+08:00,Right-click,0.000078,35.6054
2026-05-24T00:36:48.911+08:00,Cursor movement,0.000076,39.6396
2026-05-24T00:36:49.169+08:00,Left-click,0.000080,38.3764
2026-05-24T00:36:52.526+08:00,Pinch gestures,0.000046,47.5275
2026-05-24T00:59:24.914+08:00,Pinch gestures,0.000044,33.2242
2026-05-24T00:59:36.259+08:00,Cursor movement,0.000057,31.1404
2026-05-24T00:59:38.558+08:00,Left-click,0.000077,32.6874
2026-05-24T00:59:39.113+08:00,Cursor movement,0.000088,59.1793
2026-05-24T00:59:41.786+08:00,Left-click,0.000046,34.6014
2026-05-24T00:59:42.389+08:00,Cursor movement,0.000074,31.6476
2026-05-24T00:59:48.133+08:00,Left-click,0.000058,31.8535
